VComment,ProjectYea,OBJECTID_1,VLPID,TileName,PointCloud,PointClo_1,PointClo_2,DEMHost,DEMDownloa,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
Current,2014,2472,23,17SQC3925,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC3925.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x73y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",14540.657910559999436,637.447157015631774,637.447157018753160,14540.657910621273913
Current,2014,2473,23,17SQC4025,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4025.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",1086121.228593710111454,5113.708888174421190,5113.708888176484834,1086121.228591047227383
Current,2014,2474,23,17SQC4225,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4225.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",2610176.745726020075381,6692.581005397087210,6692.581005396541514,2610176.745725833810866
Current,2014,2475,23,17SQC4325,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4325.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3605035.856224779970944,7497.543860898540515,7497.543860893607416,3605035.856222769711167
Current,2014,2530,23,17SQC4324,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4324.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",621717.028373889974318,5693.320921271101724,5693.320921266786172,621717.028377162525430
Current,2014,2531,23,17SQC4524,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4524.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3580416.009044149890542,7823.739176780153684,7823.739176785515156,3580416.009048829320818
Current,2014,2586,23,17SQC4322,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4322.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",1780013.390039464924484,5981.133834012493935,5981.133834018498419,1780013.390041723614559
Current,2014,2642,23,17SQC4220,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4220.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",405242.885107484995387,3236.842638419212108,3236.842638426043777,405242.885108498507179
Current,2014,2643,23,17SQC4321,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4321.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y423_VA_Sandy_2014.tif"""">Download DEM Block</a>",3483079.697128669824451,7319.729513494528874,7319.729513482066977,3483079.697116842027754
Current,2014,2699,23,17SQC4219,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4219.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y422_VA_Sandy_2014.tif"""">Download DEM Block</a>",2360967.399492225144058,6588.499721029673310,6588.499721028582826,2360967.399490925483406
Current,2014,2748,23,17SQC4117,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4117.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y422_VA_Sandy_2014.tif"""">Download DEM Block</a>",846158.046969044953585,4677.276839073189876,4677.276839065372769,846158.046967149479315
Current,2014,2749,23,17SQC4217,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/Virginia_SANDY_QL2_LiDAR/VA_Sandy_2014/LAZ/USGS_LPC_Virginia_SANDY_QL2_LiDAR_17SQC4217.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_Sandy_2014/TIFF/USGS_one_meter_x74y422_VA_Sandy_2014.tif"""">Download DEM Block</a>",3621231.885893910191953,7539.937530487614822,7539.937530487449294,3621231.885893940459937
