VComment,ProjectYea,OBJECTID_1,VLPID,TileName,PointCloud,PointClo_1,PointClo_2,DEMHost,DEMDownloa,ShapeSTAre,ShapeSTLen,Shape_Length,Shape_Area
Current,2016,11349,29,S13_4846_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4846_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3739480.910036984831095,7735.111937416395449,7735.111937413983469,3739480.910034657921642
Current,2016,11350,29,S13_4846_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4846_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3740848.614256700035185,7736.526342080569520,7736.526342083856434,3740848.614259868860245
Current,2016,11351,29,S13_4847_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4847_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3742217.534571489784867,7737.941746780847097,7737.941746782561495,3742217.534573143348098
Current,2016,11352,29,S13_4847_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4847_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3743586.513036420103163,7739.356951445272898,7739.356951438297983,3743586.513029686175287
Current,2016,11353,29,S13_4848_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4848_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3744956.901348640210927,7740.773356145588878,7740.773356146518381,3744956.901349536143243
Current,2016,11354,29,S13_4848_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4848_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3746327.542052560020238,7742.189760828119688,7742.189760822056996,3746327.542046701069921
Current,2016,11355,29,S13_4849_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4849_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y421_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3747699.497409509960562,7743.607265667189495,7743.607265676472707,3747699.497418474871665
Current,2016,11356,29,S13_4849_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4849_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3749071.607983559835702,7745.024670341887941,7745.024670331299603,3749071.607973329257220
Current,2016,11357,29,S13_4940_10,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4940_10.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3750445.033551959786564,7746.443175181013430,7746.443175187808265,3750445.033558524213731
Current,2016,11358,29,S13_4940_20,USGS,LAZ,"<a href=""""https://rockyweb.usgs.gov/vdelivery/Datasets/Staged/Elevation/LPC/Projects/VA_ChesapeakeBay_2015/VA_ChesapeakeBaySouth_2015/LAZ/USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_4940_20.laz"""">Download LPC</a>",USGS,"<a href=""""https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/1m/Projects/VA_ChesapeakeBaySouth_2015/TIFF/USGS_one_meter_x70y422_VA_ChesapeakeBaySouth_2015.tif"""">Download DEM Block</a>",3751818.615060625132173,7747.861579863704719,7747.861579858239566,3751818.615055338945240
